Genome1	Gen1	Start1	End1	Genome2	Gen2	Start2	End2	Info
1	At1g08450	2671797	2668005	1	At1g09210	2976657	2973219	1.0e-127
1	At1g02690	584397	587036	1	At1g09270	2994508	2997835	2.1e-182
1	At1g06340	1933986	1933582	1	At1g09320	3012230	3010272	1.0e-18
1	At1g09470	3056933	3055393	1	At1g09483	3061731	3060994	6.3e-39
1	At1g09480	3057977	3060663	1	At1g09490	3064174	3065817	1.1e-151
1	At1g09490	3064174	3065817	1	At1g09500	3066813	3068486	2.5e-124
1	At1g09500	3066813	3068486	1	At1g09510	3069398	3070814	3.5e-125
1	At1g02340	467685	465933	1	At1g09530	3077218	3079369	2.2e-16
1	At1g07410	2276267	2277151	1	At1g09630	3119573	3118352	1.1e-84
1	At1g02920	659705	658886	1	At1g09640	3120164	3122154	7.5e-13
1	At1g05670	1702714	1698573	1	At1g09680	3135932	3134109	1.2e-62
1	At1g09590	3106551	3107608	1	At1g09690	3137432	3136409	4.3e-88
1	At1g01300	117065	118522	1	At1g09750	3157543	3158962	5.0e-46
1	At1g01970	338538	339905	1	At1g09820	3192416	3190596	1.2e-14
1	At1g09880	3211655	3208830	1	At1g09890	3217543	3214239	9.0e-214
1	At1g02060	363050	360918	1	At1g09900	3218135	3219931	7.5e-52
1	At1g03560	892410	890428	1	At1g09900	3218135	3219931	4.2e-58
1	At1g06270	1919272	1918241	1	At1g09900	3218135	3219931	2.6e-17
1	At1g08610	2735470	2733791	1	At1g09900	3218135	3219931	5.9e-68
1	At1g09890	3217543	3214239	1	At1g09910	3224453	3220153	1.5e-234
1	At1g09932	3233029	3230718	1	At1g09935	3235532	3234062	2.0e-49
1	At1g10060	3284447	3286839	1	At1g10070	3288257	3290166	1.4e-112
1	At1g07810	2416678	2420569	1	At1g10130	3311141	3321943	4.6e-224
1	At1g01780	282919	284082	1	At1g10200	3347765	3346679	7.5e-52
1	At1g10360	3396808	3395740	1	At1g10370	3398274	3397446	3.7e-66
1	At1g10180	3341496	3338383	1	At1g10385	3403225	3405857	1.1e-91
1	At1g10250	3360464	3360139	1	At1g10450	3432161	3437980	3.1e-31
1	At1g09730	3154238	3148019	1	At1g10570	3487640	3491103	9.9e-27
1	At1g03810	958758	959608	1	At1g10590	3503034	3502325	8.6e-35
1	At1g02440	497479	496586	1	At1g10630	3514231	3513190	8.7e-42
1	At1g09430	3042137	3044980	1	At1g10670	3535788	3538099	6.3e-190
1	At1g08350	2635052	2632967	1	At1g10950	3659322	3663622	2.2e-75
1	At1g05300	1547708	1545257	1	At1g10970	3666933	3665201	8.9e-65
1	At1g09812	3187819	3188582	1	At1g11120	3715229	3719643	2.1e-11
1	At1g03550	887778	885851	1	At1g11180	3745829	3748307	6.4e-94
1	At1g11210	3756911	3755876	1	At1g11220	3761165	3760022	2.3e-50
1	At1g11220	3761165	3760022	1	At1g11230	3764464	3763439	9.2e-70
1	At1g08560	2710713	2709781	1	At1g11250	3768724	3769706	3.5e-61
1	At1g09650	3125980	3127128	1	At1g11270	3786653	3785715	3.6e-68
1	At1g06140	1864795	1866471	1	At1g11290	3793883	3791454	1.1e-91
1	At1g11300	3794389	3800719	1	At1g11330	3810372	3813416	6.1e-263
1	At1g11330	3810372	3813416	1	At1g11350	3820752	3817725	1.4e-281
1	At1g11340	3817420	3814116	1	At1g11410	3841286	3844284	0.
1	At1g03300	813086	811033	1	At1g11420	3846872	3844581	9.1e-113
1	At1g09320	3012230	3010272	1	At1g11420	3846872	3844581	1.2e-24
1	At1g01070	40877	38898	1	At1g11460	3857005	3859268	7.7e-137
1	At1g11450	3854005	3855259	1	At1g11460	3857005	3859268	1.2e-110
1	At1g11370	3830945	3828098	1	At1g11580	3888730	3890649	7.0e-88
1	At1g11580	3888730	3890649	1	At1g11590	3892634	3894620	1.0e-134
1	At1g05170	1493930	1491459	1	At1g11730	3957473	3960113	2.0e-134
1	At1g04780	1342964	1340890	1	At1g11740	3966824	3963317	1.8e-120
1	At1g02560	538000	539805	1	At1g11750	3967609	3969535	4.5e-38
1	At1g01980	341999	340374	1	At1g11770	3976068	3977288	2.1e-175
1	At1g08250	2590232	2588991	1	At1g11790	3981475	3984961	3.4e-104
1	At1g08110	2535699	2537627	1	At1g11840	3996044	3997517	3.4e-12
1	At1g10380	3400707	3402111	1	At1g11915	4021828	4023082	5.2e-28
1	At1g10280	3368741	3366797	1	At1g11940	4033944	4031766	1.6e-43
1	At1g09060	2925215	2921238	1	At1g11950	4038308	4034745	9.0e-84
1	At1g05010	1432694	1431418	1	At1g12010	4056272	4057668	1.6e-111
1	At1g03830	966621	962127	1	At1g12150	4125326	4123528	4.2e-14
1	At1g12130	4118592	4120869	1	At1g12160	4126066	4128088	7.1e-182
1	At1g12170	4129699	4128605	1	At1g12190	4134092	4132965	6.5e-101
1	At1g12160	4126066	4128088	1	At1g12200	4137625	4139833	3.1e-144
1	At1g12210	4140946	4143603	1	At1g12220	4145009	4147678	1.0e-283
1	At1g04190	1108556	1106616	1	At1g12270	4172103	4174573	1.5e-17
1	At1g12220	4145009	4147678	1	At1g12280	4177557	4174873	1.6e-287
1	At1g12280	4177557	4174873	1	At1g12290	4181245	4178591	2.5e-243
1	At1g02010	348046	352197	1	At1g12360	4201170	4206142	3.8e-206
1	At1g12340	4197394	4197903	1	At1g12390	4220345	4221479	6.3e-55
1	At1g02560	538000	539805	1	At1g12410	4223097	4224952	3.7e-34
1	At1g01950	325473	330403	1	At1g12430	4238550	4234120	5.1e-314
1	At1g03260	798102	795678	1	At1g12450	4244494	4245806	5.2e-14
1	At1g09650	3125980	3127128	1	At1g12490	4260781	4261867	6.9e-100
1	At1g12300	4186074	4184161	1	At1g12620	4296746	4294881	1.2e-282
1	At1g12580	4283633	4285673	1	At1g12680	4322267	4320121	2.6e-65
1	At1g02060	363050	360918	1	At1g12700	4326195	4322911	5.9e-55
1	At1g09900	3218135	3219931	1	At1g12700	4326195	4322911	6.7e-81
1	At1g11900	4014629	4013165	1	At1g12770	4351886	4355838	8.2e-22
1	At1g12620	4296746	4294881	1	At1g12770	4351886	4355838	7.2e-260
1	At1g11270	3786653	3785715	1	At1g12870	4389108	4387127	5.4e-42
1	At1g12860	4382221	4386390	1	At1g12870	4389108	4387127	4.8e-112
1	At1g08090	2524136	2525917	1	At1g12940	4416403	4418335	1.6e-152
1	At1g12890	4391732	4392391	1	At1g12980	4429789	4430775	1.1e-15
1	At1g08040	2497970	2495504	1	At1g13000	4438691	4436400	5.0e-133
1	At1g11170	3741724	3744459	1	At1g13000	4438691	4436400	3.7e-66
1	At1g13090	4461844	4463398	1	At1g13100	4463981	4465536	6.4e-197
1	At1g13100	4463981	4465536	1	At1g13110	4467270	4468855	1.6e-184
1	At1g13140	4480268	4478665	1	At1g13150	4483581	4481992	3.0e-222
1	At1g12860	4382221	4386390	1	At1g13200	4508525	4507218	6.3e-119
1	At1g02720	592115	593200	1	At1g13250	4529999	4528962	1.5e-110
1	At1g08290	2613177	2610677	1	At1g13290	4551524	4550363	2.2e-75
1	At1g09220	2978970	2977954	1	At1g13410	4601636	4603171	1.3e-61
1	At1g13490	4626061	4624712	1	At1g13500	4629166	4627786	9.3e-156
1	At1g13480	4624040	4622780	1	At1g13520	4633220	4631854	4.3e-143
1	At1g13500	4629166	4627786	1	At1g13530	4635126	4633737	3.9e-158
1	At1g13510	4630684	4629456	1	At1g13540	4636705	4635471	8.8e-168
1	At1g12300	4186074	4184161	1	At1g13630	4672823	4670305	8.3e-69
1	At1g12700	4326195	4322911	1	At1g13630	4672823	4670305	1.3e-65
1	At1g01190	84864	83045	1	At1g13710	4704589	4702929	1.1e-114
1	At1g13750	4718088	4715487	1	At1g13900	4755551	4753491	1.9e-55
1	At1g10410	3419265	3416843	1	At1g13970	4781879	4779739	2.8e-84
1	At1g01960	337582	330830	1	At1g13980	4789584	4794394	8.3e-80
1	At1g01920	316204	319507	1	At1g14030	4807437	4805490	2.0e-13
1	At1g14070	4818545	4820147	1	At1g14080	4822577	4824215	2.1e-207
1	At1g14080	4822577	4824215	1	At1g14110	4827958	4831912	2.0e-193
1	At1g06640	2032365	2033774	1	At1g14120	4834830	4833645	6.9e-26
1	At1g14120	4834830	4833645	1	At1g14130	4837037	4836038	1.7e-125
1	At1g14185	4850279	4851880	1	At1g14190	4852797	4854302	1.7e-242
1	At1g04790	1345468	1348142	1	At1g14200	4855066	4854527	5.6e-11
1	At1g14210	4857936	4856897	1	At1g14220	4859596	4858637	7.7e-66
1	At1g14240	4865154	4867772	1	At1g14250	4868670	4871198	1.2e-195
1	At1g02610	555854	553181	1	At1g14260	4873195	4874425	3.1e-19
1	At1g12600	4288857	4286412	1	At1g14360	4913024	4911357	2.8e-22
1	At1g09650	3125980	3127128	1	At1g14430	4934354	4937016	1.6e-74
1	At1g11270	3786653	3785715	1	At1g14430	4934354	4937016	6.6e-54
1	At1g14480	4956399	4957883	1	At1g14500	4960370	4961775	7.3e-93
1	At1g14540	4975595	4974228	1	At1g14550	4979023	4980319	1.2e-122
1	At1g09620	3116457	3113203	1	At1g14610	5014481	5008497	2.3e-11
1	At1g14640	5023651	5025950	1	At1g14650	5028072	5030515	8.1e-257
1	At1g08350	2635052	2632967	1	At1g14670	5037664	5040194	2.2e-125
1	At1g10950	3659322	3663622	1	At1g14670	5037664	5040194	1.3e-109
1	At1g10550	3480958	3479258	1	At1g14720	5068461	5066801	1.2e-67
1	At1g01630	229206	230675	1	At1g14820	5106788	5105232	3.1e-39
1	At1g10290	3370776	3377122	1	At1g14830	5111465	5107694	1.6e-67
1	At1g12880	4390034	4391044	1	At1g14860	5124988	5125800	2.6e-33
1	At1g14870	5129453	5128586	1	At1g14880	5133658	5132786	2.9e-73
1	At1g14930	5153030	5152460	1	At1g14940	5155507	5154770	4.8e-73
1	At1g14940	5155507	5154770	1	At1g14950	5158139	5157583	3.3e-65
1	At1g14950	5158139	5157583	1	At1g14960	5159987	5159329	3.5e-61
1	At1g03610	901303	902671	1	At1g15030	5177890	5179848	1.5e-54
1	At1g04550	1240581	1241809	1	At1g15050	5183238	5182251	1.1e-18
1	At1g15150	5212669	5214718	1	At1g15160	5215470	5217540	3.4e-214
1	At1g15160	5215470	5217540	1	At1g15170	5220685	5222751	1.0e-198
1	At1g15170	5220685	5222751	1	At1g15180	5224447	5226526	5.1e-211
1	At1g01320	130099	121582	1	At1g15290	5264809	5257322	2.1e-301
1	At1g03800	957997	957260	1	At1g15360	5283604	5284501	3.5e-15
1	At1g07590	2338478	2336646	1	At1g15480	5318208	5320417	1.1e-38
1	At1g11290	3793883	3791454	1	At1g15510	5329106	5331706	2.5e-140
1	At1g15210	5236568	5231547	1	At1g15520	5338170	5331988	0.
1	At1g15590	5367369	5368418	1	At1g15600	5368918	5369756	8.4e-13
1	At1g15600	5368918	5369756	1	At1g15610	5370788	5371674	1.1e-25
1	At1g15610	5370788	5371674	1	At1g15620	5373548	5375650	4.2e-42
1	At1g15620	5373548	5375650	1	At1g15640	5379072	5380022	1.8e-42
1	At1g14330	4891695	4890370	1	At1g15670	5390114	5391193	4.2e-23
1	At1g06910	2121098	2122913	1	At1g15720	5406133	5407305	1.7e-17
1	At1g15770	5429227	5426887	1	At1g15780	5435916	5430441	6.4e-71
1	At1g15780	5435916	5430441	1	At1g15790	5439815	5438472	1.9e-29
1	At1g13790	4727435	4730226	1	At1g15910	5465945	5468717	6.3e-95
1	At1g09510	3069398	3070814	1	At1g15950	5478849	5481909	4.9e-64
1	At1g13635	4674245	4675781	1	At1g15970	5488488	5486538	8.3e-53
1	At1g09080	2931806	2929261	1	At1g16030	5504320	5502380	9.5e-203
1	At1g11660	3921056	3924347	1	At1g16030	5504320	5502380	1.2e-77
1	At1g16110	5518375	5520464	1	At1g16120	5522633	5524977	3.2e-234
1	At1g16130	5525628	5528041	1	At1g16150	5532409	5534871	3.0e-313
1	At1g16120	5522633	5524977	1	At1g16160	5535967	5538263	2.5e-267
1	At1g03590	896212	894480	1	At1g16220	5548647	5550547	1.3e-102
1	At1g16225	5552094	5551035	1	At1g16230	5554318	5553461	7.0e-56
1	At1g16230	5554318	5553461	1	At1g16240	5556334	5555177	3.1e-53
1	At1g16160	5535967	5538263	1	At1g16260	5562012	5559702	5.3e-164
1	At1g04700	1316918	1320652	1	At1g16270	5563884	5568139	4.9e-159
1	At1g12900	4394281	4392632	1	At1g16300	5574427	5577400	3.0e-71
1	At1g13440	4610491	4608462	1	At1g16300	5574427	5577400	3.7e-121
1	At1g16370	5596756	5598321	1	At1g16390	5602915	5604471	6.1e-105
1	At1g16400	5605225	5607275	1	At1g16410	5608856	5611112	1.3e-262
1	At1g07950	2466979	2466058	1	At1g16430	5614626	5615391	8.7e-58
1	At1g06280	1920946	1920326	1	At1g16530	5652832	5651463	1.1e-16
1	At1g07900	2442621	2443628	1	At1g16530	5652832	5651463	1.6e-33
1	At1g07650	2366420	2359814	1	At1g16670	5697839	5699485	5.3e-90
1	At1g16705	5712462	5713515	1	At1g16710	5714685	5721775	1.9e-28
1	At1g15690	5399110	5402180	1	At1g16780	5743562	5739461	1.1e-122
1	At1g05460	1604657	1601356	1	At1g16800	5755256	5745516	3.0e-29
1	At1g12620	4296746	4294881	1	At1g16830	5758870	5762612	6.1e-38
1	At1g12770	4351886	4355838	1	At1g16830	5758870	5762612	1.4e-37
1	At1g07090	2174791	2174201	1	At1g16910	5785366	5785860	2.8e-45
1	At1g06400	1952685	1951088	1	At1g16920	5789140	5787482	2.1e-88
1	At1g06410	1955412	1958152	1	At1g16980	5807304	5811481	9.5e-139
1	At1g16980	5807304	5811481	1	At1g17000	5812721	5816655	0.
1	At1g17010	5817660	5819176	1	At1g17020	5820251	5821734	2.7e-141
1	At1g17170	5869888	5870684	1	At1g17180	5872201	5872951	1.5e-94
1	At1g17180	5872201	5872951	1	At1g17190	5875445	5876368	7.7e-82
1	At1g17240	5898710	5896521	1	At1g17250	5903432	5901162	4.4e-269
1	At1g17285	5920888	5921280	1	At1g17300	5926987	5927433	3.5e-15
1	At1g01530	193662	192640	1	At1g17310	5928660	5928007	1.8e-12
1	At1g13210	4513771	4509249	1	At1g17500	6018750	6023194	0.
1	At1g17545	6033102	6033901	1	At1g17550	6034910	6036932	1.6e-38
1	At1g04160	1086494	1096145	1	At1g17580	6039446	6049302	0.
1	At1g08730	2779966	2788328	1	At1g17580	6039446	6049302	0.
1	At1g04260	1141296	1140748	1	At1g17700	6089581	6090123	1.0e-22
1	At1g08770	2808936	2809565	1	At1g17700	6089581	6090123	6.8e-19
1	At1g03950	1013211	1011387	1	At1g17730	6099203	6100146	4.6e-13
1	At1g12550	4274647	4275829	1	At1g17745	6101150	6104972	5.3e-26
1	At1g04080	1051802	1056549	1	At1g17760	6116264	6110201	2.0e-13
1	At1g06230	1907625	1910182	1	At1g17790	6127269	6125525	2.7e-61
1	At1g03610	901303	902671	1	At1g17830	6138165	6136111	6.1e-73
1	At1g09280	3001255	2998211	1	At1g17850	6148813	6146305	2.5e-11
1	At1g05230	1517023	1513387	1	At1g17920	6165026	6162207	4.1e-154
1	At1g09400	3034995	3033678	1	At1g17990	6193748	6192448	2.9e-98
1	At1g18000	6196040	6194661	1	At1g18010	6199973	6201352	1.6e-214
1	At1g17990	6193748	6192448	1	At1g18020	6202265	6203565	5.8e-148
1	At1g07920	2455556	2456998	1	At1g18070	6218204	6214229	8.4e-76
1	At1g17960	6183730	6181008	1	At1g18130	6235888	6238792	7.8e-46
1	At1g08720	2774092	2779080	1	At1g18160	6249119	6253828	2.0e-162
1	At1g12880	4390034	4391044	1	At1g18300	6299834	6300792	3.6e-36
1	At1g14860	5124988	5125800	1	At1g18300	6299834	6300792	1.7e-45
1	At1g01060	37061	33992	1	At1g18330	6307633	6306189	3.1e-34
1	At1g11090	3702655	3703629	1	At1g18360	6319197	6316989	6.2e-41
1	At1g07010	2152948	2154967	1	At1g18480	6361632	6362807	3.0e-52
1	At1g08070	2516596	2514371	1	At1g18485	6363165	6366077	4.2e-134
1	At1g16480	5628562	5625837	1	At1g18485	6363165	6366077	5.0e-149
1	At1g13830	4740923	4739996	1	At1g18650	6420405	6419028	2.9e-27
1	At1g18760	6471815	6471141	1	At1g18770	6474039	6473361	5.9e-40
1	At1g18770	6474039	6473361	1	At1g18780	6477226	6476249	8.2e-26
1	At1g14280	4877652	4878980	1	At1g18810	6486863	6485700	3.4e-13
1	At1g14380	4920756	4918274	1	At1g18840	6503426	6501059	2.1e-57
1	At1g09560	3093898	3094641	1	At1g18970	6555307	6554693	1.0e-54
1	At1g18970	6555307	6554693	1	At1g18980	6558017	6557355	2.1e-88
1	At1g08800	2817081	2813581	1	At1g18990	6560423	6558769	3.2e-52
1	At1g01720	268471	269514	1	At1g19040	6576886	6577404	7.9e-11
1	At1g10470	3443760	3442625	1	At1g19050	6579069	6577910	4.9e-48
1	At1g02770	606624	605071	1	At1g19060	6583592	6582057	3.7e-80
1	At1g15820	5447671	5446680	1	At1g19150	6612797	6613790	1.3e-33
1	At1g17380	5957063	5955647	1	At1g19180	6622303	6623262	1.3e-21
1	At1g09090	2932745	2936497	1	At1g19230	6644180	6649140	6.4e-223
1	At1g12130	4118592	4120869	1	At1g19250	6653044	6650647	3.5e-16
1	At1g13250	4529999	4528962	1	At1g19300	6672497	6671442	1.3e-104
1	At1g17910	6159119	6161608	1	At1g19390	6703359	6700763	2.2e-226
1	At1g01500	185260	186573	1	At1g19400	6713667	6712213	7.1e-40
1	At1g01120	58978	57392	1	At1g19440	6729110	6730660	1.7e-157
1	At1g04220	1122482	1119852	1	At1g19440	6729110	6730660	4.8e-161
1	At1g19460	6738475	6739725	1	At1g19470	6741287	6742525	4.0e-188
1	At1g01970	338538	339905	1	At1g19525	6761622	6762572	8.1e-39
1	At1g19550	6767974	6767442	1	At1g19570	6774404	6773453	2.6e-71
1	At1g05760	1724439	1723796	1	At1g19715	6819423	6816925	3.5e-17
1	At1g18485	6363165	6366077	1	At1g19720	6822601	6819917	2.8e-93
1	At1g07700	2380294	2381124	1	At1g19730	6824011	6823154	1.8e-11
1	At1g11530	3874518	3875311	1	At1g19730	6824011	6823154	6.1e-18
1	At1g18660	6421425	6425481	1	At1g19740	6824387	6825223	1.2e-14
1	At1g09860	3205289	3204138	1	At1g19770	6832417	6833693	1.4e-43
1	At1g15990	5493766	5491298	1	At1g19780	6836396	6833876	1.8e-302
1	At1g19220	6632770	6628386	1	At1g19850	6887344	6891173	4.8e-164
1	At1g14380	4920756	4918274	1	At1g19870	6898530	6895391	1.7e-22
1	At1g09200	2972134	2971724	1	At1g19890	6905025	6905783	1.1e-59
1	At1g14430	4934354	4937016	1	At1g19900	6908675	6907029	9.0e-143
1	At1g18250	6277998	6277017	1	At1g20030	6945716	6947008	9.5e-68
1	At1g18550	6384333	6380922	1	At1g20060	6956284	6950714	2.1e-11
1	At1g05500	1625097	1628939	1	At1g20080	6962227	6964903	1.1e-60
1	At1g20120	6975495	6977114	1	At1g20130	6978101	6985306	4.3e-88
1	At1g20150	6990352	6987323	1	At1g20160	6993845	6990843	4.0e-204
1	At1g17630	6064518	6066713	1	At1g20230	7009561	7011843	2.4e-101
1	At1g20240	7015207	7012104	1	At1g20360	7047665	7046757	6.8e-74
1	At1g20290	7029688	7025538	1	At1g20370	7053578	7051836	2.0e-45
1	At1g20440	7085654	7084712	1	At1g20450	7089097	7088225	2.3e-57
1	At1g20490	7099662	7097948	1	At1g20500	7102837	7101599	8.9e-175
1	At1g20480	7097063	7094968	1	At1g20510	7105846	7103635	1.8e-192
1	At1g16330	5584451	5582381	1	At1g20610	7137263	7135063	9.1e-63
1	At1g20590	7132173	7131156	1	At1g20610	7137263	7135063	1.9e-85
1	At1g20620	7143132	7146183	1	At1g20630	7146802	7149599	4.3e-223
1	At1g20693	7177272	7178477	1	At1g20696	7179815	7181164	2.6e-42
1	At1g20700	7182548	7183856	1	At1g20710	7184475	7185257	1.1e-73
1	At1g20240	7015207	7012104	1	At1g20730	7194266	7198671	1.2e-85
1	At1g20690	7175076	7175798	1	At1g20730	7194266	7198671	4.7e-50
1	At1g20730	7194266	7198671	1	At1g20740	7200384	7201528	4.1e-83
1	At1g03190	775822	779863	1	At1g20750	7208988	7203292	1.5e-35
